#id, title, type, firstBegin, firstEnd, secondBegin, secondEnd, repeat/step, reserve, flag 
0  , mainHeader     , 0    , 0    , 1    , 0    , 0    , 1    , 0    , byte
1  , seqIndex       , 0    , 2    , 3    , 0    , 0    , 1    , 0    , byte
2  , length         , 0    , 4    , 5    , 0    , 0    , 1    , 0    , byte
3  , hkHeader       , 0    , 6    , 9    , 0    , 0    , 1    , 0    , byte
4  , packetTag      , 0    , 10   , 11   , 0    , 0    , 1    , 0    , byte
5  , shipTime       , 0    , 12   , 17   , 0    , 0    , 1    , 0    , byte
6  , cmdFdbkErr1    , 0    , 18   , 19   , 0    , 0    , 1    , 0    , byte
7  , cmdFdbkErr2    , 0    , 20   , 21   , 0    , 0    , 1    , 0    , byte
8  , frameHeader    , 0    , 22   , 23   , 0    , 0    , 1    , 0    , byte
9  , cmdFrameHeader , 0    , 24   , 25   , 0    , 0    , 1    , 0    , byte
10 , cmdNum         , 0    , 26   , 27   , 0    , 0    , 1    , 0    , byte
11 , cmdCode        , 0    , 28   , 29   , 0    , 0    , 1    , 0    , byte
12 , cmdArg1        , 0    , 30   , 31   , 0    , 0    , 1    , 0    , byte
13 , cmdArg2        , 0    , 32   , 33   , 0    , 0    , 1    , 0    , byte
14 , dtctStts19_25  , 3    , 34   , 103  , 0    , 0    , 7    , #    , byte
15 , flexStatus1_5  , 3    , 104  , 163  , 0    , 0    , 6    , #    , byte
16 , oboxLVmonitor  , 3    , 164  , 187  , 0    , 0    , 1    , #    , byte
17 , lastTimeSync   , 0    , 188  , 191  , 0    , 0    , 1    , 0    , byte
18 , oboxRcvCmdCnt  , 0    , 192  , 192  , 0    , 0    , 1    , 0    , byte
19 , oboxExeCmdCnt  , 0    , 193  , 193  , 0    , 0    , 1    , 0    , byte
20 , cmdFdbkExeNum  , 0    , 194  , 195  , 0    , 0    , 1    , 0    , byte
21 , cmdFdbkExeTim  , 0    , 196  , 197  , 0    , 0    , 1    , 0    , byte
22 , cmdFdbkExeCode , 0    , 198  , 199  , 0    , 0    , 1    , 0    , byte
23 , cmdFdbkExeArg1 , 0    , 200  , 201  , 0    , 0    , 1    , 0    , byte
24 , cmdFdbkExeArg2 , 0    , 202  , 203  , 0    , 0    , 1    , 0    , byte
25 , oboxHKCRCflwed , 0    , 204  , 205  , 0    , 0    , 1    , 0    , byte
26 , x0000          , 0    , 206  , 219  , 0    , 0    , 1    , #    , byte
27 , saaFlag        , 0    , 1760 , 1761 , 0    , 0    , 1    , 0    , bit
28 , b0000          , 0    , 1762 , 1767 , 0    , 0    , 1    , 0    , bit
29 , oboxSciHdCnt   , 0    , 222  , 223  , 0    , 0    , 1    , 0    , byte
30 , timePPS        , 0    , 224  , 231  , 0    , 0    , 1    , 0    , byte
31 , timeSyComGen   , 0    , 232  , 239  , 0    , 0    , 1    , 0    , byte
32 , timeSyComTx    , 0    , 240  , 247  , 0    , 0    , 1    , 0    , byte
33 , oboxHKHdCnt    , 0    , 248  , 248  , 0    , 0    , 1    , 0    , byte
34 , oboxHKTlCnt    , 0    , 249  , 249  , 0    , 0    , 1    , 0    , byte
35 , iboxTime       , 0    , 250  , 255  , 0    , 0    , 1    , 0    , byte
36 , crc32          , 0    , 256  , 259  , 0    , 0    , 1    , 0    , byte

